Reference,Val,Package,Mid X,Mid Y,Rotation,Layer
U2,~,PinSocket_2x08_P2.54mm_Vertical,176.964810,-69.220000,180.000000,bottom
C3,0.1uF,C_0402_1005Metric,178.915544,-92.189385,-90.000000,top
C4,10uF,C_0402_1005Metric,177.871743,-92.191559,-90.000000,top
C5,10uF,C_0402_1005Metric,179.823587,-89.991430,-90.000000,top
C6,0.1uF,C_0402_1005Metric,179.958278,-92.188128,90.000000,top
C10,1uF,C_0402_1005Metric,183.500000,-88.500000,180.000000,top
D1,S-LMBR340FT1G,D_SOD-123F,175.981590,-90.917116,-90.000000,top
J1,USB_C_Receptacle_USB2.0_16P,HRO_TYPE-C-31-M-12,169.000000,-87.622570,-90.000000,top
J2,Screw_Terminal_01x02,DB300V-5.0-2P-BU-S,188.216183,-93.102955,90.000000,top
R1,5.1K,R_0402_1005Metric,178.784613,-89.990000,90.000000,top
R2,5.1K,R_0402_1005Metric,177.784613,-89.990000,90.000000,top
SW2,SW_Push,SW_TS-1088-AR02016,186.281235,-89.853738,-90.000000,top
U1,SN74AHCT245PWR,SOP65P640X120-20N,171.000000,-78.798396,0.000000,top
U3,XC6206P332MR,SOT-23,182.500000,-91.165677,0.000000,top
U4,ESP32-S2-MINI-2,XCVR_ESP32-S2-MINI-2,189.383227,-74.796067,0.000000,top
U5,SN74AHCT245PWR,SOP65P640X120-20N,171.000000,-71.000000,0.000000,top